Transcript	Gene	log2fc	pvalue	FDR
XM_005328098.5	Nags	0.9207745858942771	3.598005392280988e-58	2.61544876555192e-56
XM_078021825.1	Etnppl	1.964521658297283	4.1388662289074497e-57	2.9954136685614836e-55
XM_005322316.4	Timp3	1.02410047055872	4.728336507656358e-57	3.407086494010374e-55
XM_078019530.1	Foxo3	1.1642559866132833	5.770903455472858e-57	4.14024686603294e-55
XR_013437414.1	LOC120889528	1.0666751616038785	7.227204249848874e-57	5.162601615876895e-55
XM_078021402.1	LOC101970734	0.48110656278165026	7.78816627614863e-57	5.539333263910713e-55
XM_005330145.4	Foxo3	1.157863309231893	1.8549970003394237e-56	1.31370409882407e-54
XM_078049260.1	C5H15orf39	-0.9382800959694939	2.2719147204556414e-56	1.6020882394119033e-54
XM_078040236.1	Nampt	1.03839106746282	4.078650271245469e-56	2.863906728758361e-54
XM_078040235.1	Nampt	1.0379776864416845	9.038448322102007e-56	6.319637108601916e-54
XM_021724838.3;XM_021724839.3;XM_078050127.1;XM_021724840.3;XM_021724841.3;XM_021724842.3	Smoc1	0.8402592380620607	1.4571022431663412e-55	1.0144997516661517e-53
XM_021727973.3	Golgb1	0.7695162616936017	5.6458769043863626e-55	3.914395579801654e-53
XM_005317971.5	Prdx1	0.8516704045766572	1.3837137343811325e-54	9.553414364444799e-53
XM_078025618.1;XM_078025617.1	Rsrp1	1.0385106227470704	2.2338516634889285e-54	1.5358660958012836e-52
XM_005338097.5	LOC101959378	1.0409912034966953	2.2530234095066248e-54	1.5426198871480837e-52
XM_005339490.5	Cdo1	0.7959363509241955	2.653833572013189e-54	1.8095416434623814e-52
XM_005325611.5	Selenop	0.603713900876789	3.0086372816713e-54	2.0430256701587706e-52
XM_005327648.5;XM_013359708.4;XM_013359709.4;XM_021727974.3	Golgb1	0.763620839762086	4.429770272540904e-54	2.995722920786781e-52
XM_078043270.1	Acy1	1.3107055003725763	4.5894783446414883e-54	3.0910604965277224e-52
XM_078039365.1	Ubc	0.7519469427945562	7.372079512565334e-54	4.944987155969129e-52
XM_040277752.2	LOC101969732	0.9560042934245996	9.682611464171703e-54	6.4685332700525205e-52
XM_078043268.1	Acy1	1.3062079221603105	1.4520463658957616e-53	9.661377856308855e-52
XM_078026817.1;XM_005339685.5	Dbt	0.9641242939084823	1.7273713504043359e-53	1.1447130382739738e-51
