Transcript	Gene	log2fc	pvalue	FDR
XM_040291515.2	Gngt1	NA	NA	NA
XM_005332279.5	Cav1	NA	NA	NA
XM_078014942.1	Sinhcaf	NA	NA	NA
XR_013436387.1;XR_013436386.1;XR_013436388.1;XR_013436385.1;XM_078042963.1;XM_078042961.1;XM_078042962.1;XM_078042964.1	LOC110597402	NA	NA	NA
XM_021726150.3	Cers5	-3.1253860111708343	1.0291858577037475e-178	3.7529012938954933e-177
XM_040291099.2	LOC101959458	NA	NA	NA
XM_078030985.1	LOC144370309	NA	NA	NA
XM_078030585.1;XM_078030584.1;XM_005321128.5	Znf658	NA	NA	NA
XM_005320171.5	Wdr73	NA	NA	NA
XM_040283537.2;XM_040283539.2	Drp2	NA	NA	NA
XR_013427248.1	LOC144367723	NA	NA	NA
XM_005337978.5	Txndc16	NA	NA	NA
XR_013428886.1;XR_013428885.1	LOC106144768	-1.51512747294198	1.211468765414767e-27	3.4680728707317086e-27
XM_078051006.1	Xrcc3	NA	NA	NA
XM_078048041.1;XM_078048040.1;XM_013356651.4;XM_078048039.1;XM_078048037.1	Whrn	NA	NA	NA
XM_005321425.4	Slc22a2	NA	NA	NA
XM_040288964.2	Selenof	-0.47238325929371383	2.8050957411056845e-06	4.329917015758005e-06
XM_078016590.1	Ly6k	NA	NA	NA
XM_078015815.1	LOC144365045	NA	NA	NA
XM_013359124.4	LOC101974755	NA	NA	NA
XR_013435648.1	LOC120888255	NA	NA	NA
XM_005331975.5	Uqcr11	-3.3511984823467214	4.89434093280643e-84	4.508949034090731e-83
XM_078034299.1	LOC144371691	NA	NA	NA
XR_013435794.1	LOC144375931	NA	NA	NA
XM_005340258.1	Il36a	NA	NA	NA
XM_078050574.1;XM_005321257.5	Tgfb3	NA	NA	NA
XR_013426957.1	LOC101966606	2.511879108219393	1.7245873483388066e-06	2.6848357675144763e-06
XM_078033927.1	Gucy2f	NA	NA	NA
XR_005726747.2	LOC120884342	NA	NA	NA
XM_078034413.1	Mid2	NA	NA	NA
XM_005331051.4	Eef1akmt4	-1.3869134137607855	0.0001027798063525066	0.0001484617131285007
XM_078035260.1	LOC144371933	NA	NA	NA
XM_013364815.4	Flcn	-0.6214237815895818	2.41718092285999e-06	3.7405524563420392e-06
XM_021720219.3;XM_040282982.2	Impg1	NA	NA	NA
XM_005330546.4	Mrpl44	-2.2862972358717046	2.2405894615125052e-34	7.582370918916502e-34
XM_078035196.1	LOC144371890	NA	NA	NA
XM_078029135.1	LOC101971192	-2.758781434953988	8.565623368518665e-42	3.44351371699433e-41
XM_078051757.1	Src	NA	NA	NA
XM_005318436.5	Tmem170a	-0.4156185559529015	0.0002557970384896391	0.00036225149462754277
XM_078033637.1	LOC144371211	NA	NA	NA
XM_078052624.1	Serhl2	-3.472235285196204	8.06767470737682e-64	5.131016318886795e-63
XM_005337492.5	Pbdc1	NA	NA	NA
XR_013425276.1	LOC120885522	NA	NA	NA
XM_021720900.3	Rnase6	NA	NA	NA
XM_005325490.3	LOC101966422	NA	NA	NA
XM_078050161.1;XM_005322877.5	Dmac2l	NA	NA	NA
XM_005332647.5	Ndufaf8	NA	NA	NA
XM_013363245.4	Icam1	NA	NA	NA
XR_013430624.1	LOC144370711	NA	NA	NA
XM_005320861.4	Iars1	-2.1070636866255597	8.307711072225521e-38	3.0367444645770257e-37
XM_078039709.1	LOC144375323	NA	NA	NA
XR_013427529.1	LOC144367910	NA	NA	NA
XR_013426923.1	LOC144367491	NA	NA	NA
XM_078023175.1	Rbm17	-2.250583591146983	2.4023323114139836e-37	8.685435993766869e-37
XM_078042467.1	Msmb	NA	NA	NA
XM_078038104.1;XM_078038129.1;XM_078038134.1;XM_078038136.1	Cpeb3	NA	NA	NA
XM_078027811.1	LOC120890498	NA	NA	NA
XR_013423263.1	LOC120885601	NA	NA	NA
XM_078024230.1	LOC101978286	NA	NA	NA
XR_013428244.1;XR_013428243.1	LOC120890578	NA	NA	NA
XM_005338444.5;XM_078027929.1	Polr1a	NA	NA	NA
XM_040271212.2	Lrrtm4	NA	NA	NA
XM_040284839.2	LOC101969848	NA	NA	NA
XR_013427522.1	LOC144367903	NA	NA	NA
XR_013438214.1	LOC110598031	NA	NA	NA
XM_078031155.1;XM_078031158.1	Wrn	NA	NA	NA
XM_078042611.1	Doc2b	NA	NA	NA
XR_013430759.1	LOC144370799	NA	NA	NA
XM_013360709.4	Cep57l1	NA	NA	NA
XM_078030804.1	Extl3	-2.5966859498437547	1.1150350355261159e-17	2.4443068078833224e-17
XR_005731931.2	LOC120888363	NA	NA	NA
XR_013431698.1	LOC144371698	NA	NA	NA
XM_021734809.3	Mospd1	-1.7006273686897764	7.300084048208448e-80	6.226321041632708e-79
XM_021722359.3	Elf4	NA	NA	NA
XM_078019953.1;XM_078019952.1;XM_078019951.1;XM_078019949.1	Tmem63b	-2.5037777818284273	4.997394992876824e-10	8.698546326051502e-10
XM_078027229.1	LOC144368388	NA	NA	NA
XM_040294396.2;XM_005315729.5	Grb14	-0.09116337719235014	0.7566573480507658	0.794020182364378
XM_005321207.5	LOC101972642	NA	NA	NA
XM_078045933.1;XM_078045932.1;XM_078045931.1;XM_078045930.1	Cd6	NA	NA	NA
XR_013425278.1	LOC144366264	-2.1632754104999905	1.6097415106774623e-21	3.9474552968842224e-21
XM_005331309.4	Kcnn3	NA	NA	NA
XM_078018520.1	LOC101971668	NA	NA	NA
XM_021724432.3	Kctd17	NA	NA	NA
XM_078045471.1;XM_078045470.1	C4H11orf24	-3.8853804888633885	7.522407639023101e-87	7.24874612712616e-86
XR_005734951.2	LOC120890628	NA	NA	NA
XM_040273761.2	Gpbp1	-2.1495459079177333	4.748267125460752e-15	9.639186052973973e-15
XR_013438133.1	LOC110598422	NA	NA	NA
XM_005320666.4	Smndc1	-1.7870203911841267	9.102578726597052e-50	4.3477550726720776e-49
XR_013435083.1	LOC144375359	NA	NA	NA
XM_005316865.5	Morf4l1	-1.0191544371940184	1.1709264637244105e-15	2.416742003111534e-15
XM_078033692.1	LOC144371303	NA	NA	NA
XM_040285963.2	Il11ra	-0.5589311228273793	1.8612931895264864e-05	2.7785129623634792e-05
XR_013437113.1	LOC144376534	NA	NA	NA
XM_021727006.3;XM_021727007.3	Znf189	-0.4160355937577959	0.002451003346027864	0.003296211242363224
XR_013438847.1	LOC144377774	NA	NA	NA
XM_005329632.5	Erp29	-0.3471134096248258	0.0005386525606521591	0.0007510648649538022
XM_005321846.4	LOC101958273	NA	NA	NA
XR_013426669.1;XR_013426668.1	LOC120887448	-1.6650231061077365	3.109932501181535e-08	5.126449522758171e-08
XM_005324991.4	Krt6a	NA	NA	NA
XM_078015388.1	Parp11	NA	NA	NA
XM_005316514.5	Trim69	NA	NA	NA
XM_013362415.4	Arid5b	-0.02206246994539206	0.8322128231151651	0.864538358852382
XM_005321394.5	Tmem242	-3.0412742189079283	4.178365544000547e-36	1.4661475536441086e-35
XR_005729016.2	LOC120886220	NA	NA	NA
XR_013430817.1;XM_078032195.1	Slc7a9	NA	NA	NA
XM_078050399.1	Hnrnpc	-2.2345099471769547	4.202949207032602e-166	1.2861335327620097e-164
XM_005334899.4	Txndc2	NA	NA	NA
XR_013430211.1	LOC144370280	NA	NA	NA
XR_013428015.1	LOC144368240	1.5009671836211511	1.3860363991714636e-47	6.331631508908272e-47
XM_078049016.1	Wfdc11	NA	NA	NA
XR_013431720.1	LOC144371708	NA	NA	NA
XM_078027215.1	Pkd2l1	NA	NA	NA
XR_013434505.1	LOC144375084	NA	NA	NA
XM_005317049.4	Gpr12	NA	NA	NA
XM_078030491.1	Seh1l	NA	NA	NA
XM_005333998.5	Rhno1	NA	NA	NA
XM_040276946.2	Ppp1r35	-1.3826562939196538	0.0005204160387622765	0.0007263098568293278
XM_078030089.1	Loxhd1	NA	NA	NA
XM_005327758.5	Nle1	NA	NA	NA
XM_078015191.1	LOC144364918	NA	NA	NA
XM_021728065.3	Rnf135	NA	NA	NA
XM_005317623.5	Aunip	NA	NA	NA
XM_078033792.1	LOC144371489	NA	NA	NA
XM_005330746.4	Ets1	NA	NA	NA
XM_078022359.1	Cacybp	-2.35206484765975	7.9470633433126e-46	3.491603865407115e-45
XM_013364524.4	Homez	-1.5362987887747277	5.600304999323044e-21	1.3499279158968112e-20
XM_040289784.2;XM_078038357.1;XM_040289786.2;XM_078038358.1;XM_078038361.1	Hesx1	NA	NA	NA
XR_013436946.1;XR_013436947.1;XR_013436949.1;XR_013436950.1;XR_013436948.1	LOC144376449	NA	NA	NA
XM_078020603.1	Dcdc2	NA	NA	NA
XM_013363295.4	LOC101959559	-2.2557115499986407	1.0867509935701026e-06	1.704354177581759e-06
XM_078046803.1;XM_078046801.1;XM_078046800.1;XM_078046791.1;XM_078046796.1;XM_078046790.1;XM_078046802.1;XM_078046798.1;XM_078046797.1;XM_078046792.1;XM_078046799.1;XM_078046795.1;XM_078046794.1;XM_078046789.1;XM_078046787.1;XM_078046810.1;XM_078046808.1;XM_078046806.1;XM_078046809.1;XM_078046807.1;XM_078046805.1	Crebzf	-2.198001350308351	6.196134522645918e-185	2.501878220058614e-183
XR_005737815.2;XR_002485172.3;XR_005737816.2;XR_002485173.3;XM_021733736.3;XM_005336010.5;XM_078016978.1	Pag1	NA	NA	NA
XM_078017057.1	Prdm14	NA	NA	NA
XM_078028246.1;XM_078028227.1;XM_078028233.1;XM_078028241.1	Sppl2b	NA	NA	NA
XM_005334553.5	Rtn4r	NA	NA	NA
XM_078018064.1;XM_078018069.1	Dnah5	NA	NA	NA
XM_078021594.1	Scpppq1	NA	NA	NA
XM_078044920.1	LOC120889641	NA	NA	NA
XM_078042311.1	Rnf43	-0.13227122479906328	0.17457312074235065	0.20392732245904707
XM_013357604.4	Lman1	-0.8263849402459605	1.1183445324813745e-15	2.309078789626984e-15
XR_013437612.1	LOC144377050	NA	NA	NA
XR_013424573.1	LOC144365840	NA	NA	NA
XM_078030662.1	Sema4d	NA	NA	NA
XR_013426266.1	LOC144367059	NA	NA	NA
XM_013366227.4	Vps35	-1.0653730189873043	1.3122217328328327e-12	2.4895520040164506e-12
XR_013435160.1	LOC144375401	NA	NA	NA
XR_013437729.1	LOC144377082	NA	NA	NA
XM_078033686.1	LOC144371284	NA	NA	NA
XR_013439684.1;XR_013439683.1;XR_002484483.3	LOC106145032	-0.8000781762147889	1.006582194360826e-06	1.5814717877615524e-06
XM_013365378.3	Gprasp1	-0.8538579407593927	0.0438471770788208	0.05430405228239092
XR_005737282.2	LOC120892562	NA	NA	NA
XM_040281320.2;XM_005337574.5;XM_078015679.1	Mtmr6	NA	NA	NA
XM_013365330.4	Bcl2l13	-2.553489539385999	1.959676989439496e-161	5.6816904658793097e-160
XM_005338016.5	Maml2	NA	NA	NA
XM_005337150.4	LOC101977217	NA	NA	NA
XR_013438685.1;XR_005730040.2	LOC120886892	NA	NA	NA
XM_005335852.3	Hhipl2	NA	NA	NA
XR_013431337.1;XR_013431334.1;XR_013431332.1;XM_078033555.1;XM_078033539.1	Pip5k1c	NA	NA	NA
XR_013434647.1;XR_013434648.1	LOC144375166	NA	NA	NA
XM_005335236.3	Nkx2-3	NA	NA	NA
XM_021720644.3	A3galt2	0.03896629314704636	0.970129381557944	0.9784399347174019
XM_078025587.1	Htr1d	NA	NA	NA
XM_078032439.1	Cmtm3	NA	NA	NA
XR_013426347.1	LOC144367106	NA	NA	NA
XM_078039023.1;XM_078039039.1;XM_021735436.3;XM_078039018.1	Sh2d4b	0.34400595052018	0.3539700072481784	0.39570352285728905
XM_040268755.2;XM_040268756.2	Ezh1	NA	NA	NA
XM_078041789.1	Map2k6	-1.8711979802379313	3.541135740936185e-10	6.195677678207412e-10
XM_005329733.5	Klf4	NA	NA	NA
XM_078044840.1	Dip2a	-0.6959824353576488	0.006277018966932664	0.008257791560518932
XM_005337120.4	Smchd1	NA	NA	NA
XM_078046094.1	Nr1h3	-0.5905361559137772	6.107906464388134e-05	8.907363593899362e-05
XM_005341921.5	Gpx5	NA	NA	NA
XM_078046382.1	LOC144377079	NA	NA	NA
XM_078039227.1	LOC101977193	-1.0900330433468717	0.001185595201253006	0.0016241231739134063
XM_005340890.3	LOC101959492	NA	NA	NA
XR_013437829.1	Deup1	NA	NA	NA
XM_078030423.1	Afg3l2	-2.7171692801955856	1.6217323891145093e-121	2.6141947129299612e-120
XM_078045171.1	LOC101963968	-0.7212010572345133	0.5132038700819339	0.5589165232028429
XR_013430660.1	LOC110599253	NA	NA	NA
XR_013425388.1	LOC144366338	-1.3260672619715879	1.6330867463261936e-08	2.718800390731108e-08
XR_013425928.1	LOC144366785	NA	NA	NA
XR_013430316.1	LOC144370333	NA	NA	NA
XM_078023553.1	Adap1	NA	NA	NA
XM_078025055.1	Plch2	NA	NA	NA
XM_078028466.1;XM_040270726.2;XM_040270724.2	Znf2	NA	NA	NA
XM_078052486.1;XM_078052485.1;XM_078052483.1;XM_078052482.1	Ncaph2	-1.1982374498524448	2.809825893183205e-06	4.336005561302009e-06
XR_013438439.1	LOC144377427	NA	NA	NA
XR_013424782.1	LOC144366000	NA	NA	NA
XM_005321420.5	Mrpl18	-1.6580373413195075	4.481296450365544e-51	2.1942579927773317e-50
XM_005331547.3	Osbp	-1.196831298515881	2.792338418577152e-11	5.057123128710726e-11
XM_005325064.2	Hoxc10	NA	NA	NA
XM_005330195.3	Lpar6	NA	NA	NA
XM_040280528.2	Smug1	NA	NA	NA
XM_078032609.1	Pmfbp1	NA	NA	NA
XM_078038031.1	Snrk	-1.7912187664883787	2.2828751994108505e-30	7.011688112476184e-30
XM_005331970.4	Rps15	-3.2101946686936693	1.3012658700437152e-88	1.296176683428021e-87
XM_078019348.1	LOC144366074	NA	NA	NA
XR_013434287.1;XR_013434289.1;XR_013434288.1;XR_013434301.1	LOC110599451	NA	NA	NA
XM_078018516.1	LOC144365777	NA	NA	NA
XM_005335513.5	Atpsckmt	NA	NA	NA
XR_013430479.1	LOC144370561	NA	NA	NA
XM_078029254.1	Ttc7a	NA	NA	NA
XM_078052394.1	Npm1	-2.455289740716436	2.0554203106189032e-64	1.3214556598949882e-63
XM_078030797.1	LOC101961295	NA	NA	NA
XM_005317539.2	Pla2g2d	NA	NA	NA
XM_005334321.4	Phyhipl	NA	NA	NA
