Transcript	Gene	log2fc	pvalue	FDR
XM_078041789.1	Map2k6	-0.9955561684501322	5.105714580999652e-06	1.3314078763347515e-05
XM_005329733.5	Klf4	NA	NA	NA
XM_078044840.1	Dip2a	NA	NA	NA
XM_005337120.4	Smchd1	NA	NA	NA
XM_005341921.5	Gpx5	NA	NA	NA
XM_078046382.1	LOC144377079	NA	NA	NA
XM_078039227.1	LOC101977193	-0.1424474897082112	0.5889417050518051	0.6741739349479013
XM_005340890.3	LOC101959492	NA	NA	NA
XR_013437829.1	Deup1	NA	NA	NA
XM_078030423.1	Afg3l2	-0.7574461297698959	4.437939328745176e-16	2.383946749623272e-15
XM_078045171.1	LOC101963968	-1.147557188413858	0.33403950390288606	0.42053582577442805
XR_013430660.1	LOC110599253	NA	NA	NA
XR_013425388.1	LOC144366338	-1.3996710254280826	2.4279441751090157e-27	2.33500263585948e-26
XR_013425928.1	LOC144366785	NA	NA	NA
XR_013430316.1	LOC144370333	NA	NA	NA
XM_078023553.1	Adap1	NA	NA	NA
XM_078025055.1	Plch2	NA	NA	NA
XM_078052486.1;XM_078052485.1;XM_078052483.1;XM_078052482.1	Ncaph2	NA	NA	NA
XM_078028466.1;XM_040270726.2;XM_040270724.2	Znf2	NA	NA	NA
XR_013438439.1	LOC144377427	NA	NA	NA
XR_013424782.1	LOC144366000	NA	NA	NA
XM_005321420.5	Mrpl18	-0.528722089638264	8.954719132762597e-07	2.4859044238590827e-06
XM_005331547.3	Osbp	-0.47372911335656465	0.0029696240236547658	0.005671090235596539
XM_005325064.2	Hoxc10	NA	NA	NA
XM_078032609.1	Pmfbp1	NA	NA	NA
XM_040280528.2	Smug1	-1.08374445270398	2.9354164467220935e-10	1.074728011704864e-09
XM_005330195.3	Lpar6	NA	NA	NA
XM_005331970.4	Rps15	-0.14970902229407707	0.3248949803800537	0.4107158430118471
XM_078019348.1	LOC144366074	NA	NA	NA
XR_013434287.1;XR_013434289.1;XR_013434288.1;XR_013434301.1	LOC110599451	NA	NA	NA
XM_078018516.1	LOC144365777	NA	NA	NA
XR_013430479.1	LOC144370561	NA	NA	NA
XM_078029254.1	Ttc7a	NA	NA	NA
XM_078052394.1	Npm1	0.1271923590634643	0.3028381275917671	0.3861423106996231
XM_005317539.2	Pla2g2d	NA	NA	NA
XM_005334321.4	Phyhipl	NA	NA	NA
XM_005322917.5;XM_040294052.2	Xkr4	NA	NA	NA
XM_040282136.2	Phactr1	NA	NA	NA
XR_013439787.1	LOC110598133	NA	NA	NA
XR_013435151.1	LOC110597586	NA	NA	NA
XM_005339849.4	Morc2	NA	NA	NA
XM_013359878.4	Tmub2	-0.13445670597107537	0.6566654229475916	0.7362312399220409
XR_005731860.2;XR_005731861.2	LOC120888322	NA	NA	NA
XM_078027642.1	Tars2	-1.3462660969527838	6.475576583639478e-50	1.571498436446636e-48
XM_005340007.5	Sri	NA	NA	NA
XM_078024415.1	Noxo1	-0.8334612137821759	8.387030912773145e-09	2.729574127575342e-08
XR_013439377.1	LOC144377993	NA	NA	NA
XM_005334617.4	LOC101963350	NA	NA	NA
XM_005328260.4	Fam187a	NA	NA	NA
XM_078033455.1	Fzr1	NA	NA	NA
XR_013425733.1	LOC144366635	-1.4160732006430747	5.5954573489884586e-18	3.361400273309113e-17
XR_013423779.1	LOC144365401	NA	NA	NA
XR_013428185.1	LOC144368429	NA	NA	NA
XR_013423650.1	LOC120892795	NA	NA	NA
XM_005322396.5	Ikbip	NA	NA	NA
XM_078019452.1	LOC144366090	NA	NA	NA
XM_078022505.1	Ro60	NA	NA	NA
XM_040275280.2	Trip11	-0.17998790966130945	0.040327756309399485	0.0636971549757677
XM_005342696.4	Pabpc1l2b	NA	NA	NA
XM_078046947.1;XM_078046948.1	Slc35f2	NA	NA	NA
